Time (s),Pressure (mmHg)
0.0,164.8
0.1,163.7
0.2,162.7
0.3,161.8
0.4,161.0
0.5,160.3
0.6,159.6
0.7,159.1
0.8,158.3
0.9,157.6
1.0,156.9
1.1,156.4
1.2,155.8
1.3,155.2
1.4,154.6
1.5,154.3
1.6,153.5
1.7,153.0
1.8,152.4
1.9,151.9
2.0,151.2
2.1,150.6
2.2,150.2
2.3,149.8
2.4,149.2
2.5,148.8
2.6,148.1
2.7,147.5
2.8,147.1
2.9,146.7
3.0,146.4
3.1,145.8
3.2,145.3
3.3,144.8
3.4,144.4
3.5,143.9
3.6,143.4
3.7,143.0
3.8,142.7
3.9,142.2
4.0,141.7
4.1,141.2
4.2,140.8
4.3,140.3
4.4,139.8
4.5,139.4
4.6,139.3
4.7,138.6
4.8,138.2
4.9,137.8
5.0,137.4
5.1,136.9
5.2,136.5
5.3,136.2
5.4,135.9
5.5,135.4
5.6,135.0
5.7,134.6
5.8,134.1
5.9,133.8
6.0,133.3
6.1,133.3
6.2,132.8
6.3,132.5
6.4,132.0
6.5,131.6
6.6,131.1
6.7,130.8
6.8,130.5
6.9,130.5
7.0,129.9
7.1,129.4
7.2,129.0
7.3,128.6
7.4,128.3
7.5,127.9
7.6,127.6
7.7,127.6
7.8,126.9
7.9,126.5
8.0,126.2
8.1,125.7
8.2,125.3
8.3,125.0
8.4,124.9
8.5,124.5
8.6,124.0
8.7,123.7
8.8,123.4
8.9,123.1
9.0,122.7
9.1,122.3
9.2,122.5
9.3,121.8
9.4,121.5
9.5,121.1
9.6,120.8
9.7,120.4
9.8,120.1
9.9,119.7
10.0,120.0
10.1,119.3
10.2,118.9
10.3,118.6
10.4,118.2
10.5,117.9
10.6,117.5
10.7,117.2
10.8,117.4
10.9,116.8
11.0,116.4
11.1,116.1
11.2,115.7
11.3,115.4
11.4,115.1
11.5,115.1
11.6,114.4
11.7,114.0
11.8,113.7
11.9,113.3
12.0,113.1
12.1,112.7
12.2,112.8
12.3,112.7
12.4,112.0
12.5,111.7
12.6,111.4
12.7,111.0
12.8,110.7
12.9,110.3
13.0,110.8
13.1,110.2
13.2,109.7
13.3,109.4
13.4,109.0
13.5,108.8
13.6,108.5
13.7,108.2
13.8,108.6
13.9,108.1
14.0,107.5
14.1,107.2
14.2,106.9
14.3,106.6
14.4,106.4
14.5,106.1
14.6,106.6
14.7,106.0
14.8,105.5
14.9,105.2
15.0,104.9
15.1,104.6
15.2,104.3
15.3,104.1
15.4,104.6
15.5,104.0
15.6,103.4
15.7,103.2
15.8,102.9
15.9,102.6
16.0,102.3
16.1,102.7
16.2,102.5
16.3,102.0
16.4,101.5
16.5,101.1
16.6,100.9
16.7,100.6
16.8,100.3
16.9,100.9
17.0,100.6
17.1,100.1
17.2,99.5
17.3,99.3
17.4,98.9
17.5,98.7
17.6,98.4
17.7,99.1
17.8,98.7
17.9,98.1
18.0,97.7
18.1,97.4
18.2,97.0
18.3,96.8
18.4,96.6
18.5,97.3
18.6,96.8
18.7,96.3
18.8,95.9
18.9,95.5
19.0,95.2
19.1,94.9
19.2,95.5
19.3,95.4
19.4,94.9
19.5,94.4
19.6,94.0
19.7,93.8
19.8,93.5
19.9,93.4
20.0,94.0
20.1,93.6
20.2,93.1
20.3,92.6
20.4,92.2
20.5,92.0
20.6,91.7
20.7,92.3
20.8,92.2
20.9,91.9
21.0,91.3
21.1,90.9
21.2,90.6
21.3,90.3
21.4,90.1
21.5,90.8
21.6,90.5
21.7,90.0
21.8,89.6
21.9,89.2
22.0,88.9
22.1,88.6
22.2,89.2
22.3,89.2
22.4,88.8
22.5,88.4
22.6,88.1
22.7,87.6
22.8,87.4
22.9,87.6
23.0,87.9
23.1,87.7
23.2,87.2
23.3,86.8
23.4,86.4
23.5,86.1
23.6,85.9
23.7,86.7
23.8,86.5
23.9,86.2
24.0,85.8
24.1,85.4
24.2,85.0
24.3,84.7
24.4,84.7
24.5,85.3
24.6,85.1
24.7,84.7
24.8,84.4
24.9,84.0
25.0,83.6
25.1,83.4
25.2,84.0
25.3,83.9
25.4,83.8
25.5,83.4
25.6,82.9
25.7,82.6
25.8,82.2
25.9,82.6
26.0,82.8
26.1,82.7
26.2,82.2
26.3,81.9
26.4,81.5
26.5,81.1
26.6,81.0
26.7,81.7
26.8,81.7
26.9,81.3
27.0,81.0
27.1,80.6
27.2,80.2
27.3,79.9
27.4,80.5
27.5,80.6
27.6,80.4
27.7,80.0
27.8,79.6
27.9,79.3
28.0,78.9
28.1,79.2
28.2,79.4
28.3,79.4
28.4,79.1
28.5,78.9
28.6,78.6
28.7,78.3
28.8,78.5
28.9,78.8
29.0,78.8
29.1,78.5
29.2,78.2
29.3,77.9
29.4,77.5
29.5,77.4
29.6,78.0
29.7,78.1
29.8,77.8
29.9,77.5
30.0,77.3
30.1,76.9
30.2,76.6
30.3,77.2
30.4,77.1
30.5,76.9
30.6,76.7
30.7,76.3
30.8,76.0
30.9,75.7
31.0,76.2
31.1,76.2
31.2,76.1
31.3,75.8
31.4,75.5
31.5,75.2
31.6,74.8
31.7,75.2
31.8,75.2
31.9,75.1
32.0,74.8
32.1,74.5
32.2,74.2
32.3,73.8
32.4,74.0
32.5,74.3
32.6,74.2
32.7,73.9
32.8,73.7
32.9,73.3
33.0,73.0
33.1,72.8
33.2,73.3
33.3,73.3
33.4,73.0
33.5,72.6
33.6,72.3
33.7,72.0
33.8,71.7
33.9,72.2
34.0,72.2
34.1,72.0
34.2,71.8
34.3,71.5
34.4,71.2
34.5,70.8
34.6,71.3
34.7,71.3
34.8,71.1
34.9,70.8
35.0,70.5
35.1,70.3
35.2,69.9
35.3,70.3
35.4,70.4
35.5,70.3
35.6,70.0
35.7,69.8
35.8,69.5
35.9,69.2
36.0,69.3
36.1,69.7
36.2,69.7
36.3,69.4
36.4,69.1
36.5,68.8
36.6,68.4
36.7,68.4
36.8,68.7
36.9,68.7
37.0,68.4
37.1,68.2
37.2,67.9
37.3,67.6
37.4,67.7
37.5,67.9
37.6,67.8
37.7,67.6
37.8,67.3
37.9,67.1
38.0,66.8
38.1,67.1
38.2,67.2
38.3,67.1
38.4,66.9
38.5,66.7
38.6,66.4
38.7,66.1
38.8,66.4
38.9,66.5
39.0,66.3
39.1,66.1
39.2,65.9
39.3,65.6
39.4,65.6
39.5,65.8
39.6,65.8
39.7,65.6
39.8,65.4
39.9,65.2
40.0,64.9
40.1,65.2
40.2,65.2
40.3,65.1
40.4,64.9
40.5,64.6
40.6,64.4
40.7,64.3
40.8,64.6
40.9,64.6
41.0,64.4
41.1,64.2
41.2,64.0
41.3,63.7
41.4,63.9
41.5,64.0
41.6,63.9
41.7,63.7
41.8,63.5
41.9,63.1
42.0,62.9
42.1,63.2
42.2,63.4
42.3,63.2
42.4,63.0
42.5,62.8
42.6,62.6
42.7,62.3
42.8,62.6
42.9,62.6
43.0,62.4
43.1,62.2
43.2,61.9
43.3,61.7
43.4,61.7
43.5,61.9
43.6,61.9
43.7,61.6
43.8,61.5
43.9,61.2
44.0,60.9
44.1,60.8
44.2,61.1
44.3,61.1
44.4,60.9
44.5,60.7
44.6,60.5
44.7,60.2
44.8,60.0
44.9,60.3
45.0,60.4
45.1,60.2
45.2,60.0
45.3,59.7
45.4,59.5
45.5,59.2
45.6,59.3
45.7,59.5
45.8,59.5
45.9,59.3
46.0,59.1
46.1,58.9
46.2,58.6
46.3,58.3
46.4,58.7
46.5,58.7
46.6,58.5
46.7,58.3
46.8,58.1
46.9,57.9
47.0,57.6
47.1,57.9
47.2,58.0
47.3,57.9
47.4,57.7
47.5,57.5
47.6,57.3
47.7,57.0
47.8,56.8
47.9,57.2
48.0,57.2
48.1,57.0
48.2,56.8
48.3,56.7
48.4,56.4
48.5,56.1
48.6,56.2
48.7,56.4
48.8,56.3
48.9,56.0
49.0,56.0
49.1,55.7
49.2,55.5
49.3,55.3
49.4,55.7
49.5,55.7
49.6,55.5
49.7,55.3
49.8,55.1
49.9,54.9
50.0,54.7
50.1,55.0
50.2,55.0
50.3,54.9
50.4,54.7
50.5,54.6
50.6,54.6
50.7,54.3
50.8,54.4
50.9,54.5
51.0,54.5
51.1,54.3
51.2,54.0
51.3,53.7
51.4,53.4
51.5,53.2
51.6,53.6
51.7,53.6
51.8,53.3
51.9,53.1
52.0,52.9
52.1,52.7
52.2,52.5
52.3,52.8
52.4,52.8
52.5,52.6
52.6,52.5
52.7,52.3
52.8,52.1
52.9,52.1
53.0,52.3
53.1,52.3
53.2,52.1
53.3,52.0
53.4,51.8
53.5,51.6
53.6,51.7
53.7,51.9
53.8,51.8
53.9,51.6
54.0,51.5
54.1,51.3
54.2,51.1
54.3,51.3
54.4,51.4
54.5,51.4
54.6,51.2
54.7,51.0
54.8,50.8
54.9,50.7
55.0,50.8
55.1,50.8
55.2,50.8
55.3,50.6
55.4,50.5
55.5,50.2
55.6,50.1
55.7,50.1
55.8,50.2
55.9,50.1
56.0,50.0
56.1,49.8
